model,occupation_id,occupation_name,time_weight_summary,time_weight_instruction,time_weight_presentation,est_human_time_summary,est_ai_time_summary,est_reduction_summary,est_human_time_instruction,est_ai_time_instruction,est_reduction_instruction,est_human_time_presentation,est_ai_time_presentation,est_reduction_presentation,est_reduction_timeweighted,label_source,true_reduction,ae,re
gpt51T,1,経営コンサルタント,0.2,0.4,0.4,8,2,0.75,10,4,0.6,16,8,0.5,0.59,BM,0.542333333,0.047666667,0.087891825
gpt51T,2,事業企画（企画職）,0.15,0.35,0.5,6,1.5,0.75,8,3,0.625,12,6,0.5,0.6,BM,0.519833333,0.080166667,0.154216095
gpt51T,2.2,マーケティング担当,0.25,0.2,0.55,6,1.5,0.75,8,2.5,0.6875,11,3.5,0.681818182,0.697727273,BM,0.547333333,0.150393939,0.274775772
gpt51T,3,プロジェクトマネージャー,0.1,0.6,0.3,6,1.5,0.75,14,6,0.571428571,10,5,0.5,0.578571429,BM,0.546666667,0.031904762,0.058362369
gpt51T,4,編集者／ライター,0.6,0.2,0.2,7,2,0.714285714,9,3.5,0.611111111,8,4,0.5,0.587301587,BM,0.612,-0.024698413,-0.040356883
gpt51T,5,営業アシスタント／秘書,0.3,0.5,0.2,4,1,0.75,7,2.5,0.642857143,9,4.5,0.5,0.607142857,BM,0.5735,0.033642857,0.058662349
gpt51T,6,研修講師／インストラクショナルデザイナー,0.2,0.2,0.6,7,2,0.714285714,12,5,0.583333333,14,7,0.5,0.576190476,BM,0.665,-0.088809524,-0.133548156
gpt51T,7,財務・経理系,0.45,0.35,0.2,6,2,0.666666667,12,5,0.583333333,10,5,0.5,0.566666667,BM,0.8,-0.233333333,-0.291666667
gpt51T,7.2,財務・経理系,0.21,0.43,0.36,6,2,0.666666667,12,5,0.583333333,10,5,0.5,0.566666667,BM,0.61635,-0.049683333,-0.080608961
gpt51T,8,カスタマーサポート系,0.4,0.45,0.15,30,12,0.6,25,10,0.6,20,6,0.7,0.64,BM,0.68,-0.04,-0.058823529
gpt51T,8.2,カスタマーサポート系,0.22,0.44,0.35,5,1.5,0.7,10,4,0.6,8,3.5,0.5625,0.605,BM,0.498415,0.106585,0.213847898
gpt52P,1,経営コンサルタント,0.2,0.4,0.4,7,2,0.714285714,20,11,0.45,14,7,0.5,0.522857143,BM,0.542333333,-0.01947619,-0.035911845
gpt52P,2,事業企画（企画職）,0.15,0.35,0.5,6,2,0.666666667,18,10,0.444444444,12,6,0.5,0.511111111,BM,0.519833333,-0.008722222,-0.016778882
gpt52P,2.2,マーケティング担当,0.25,0.2,0.55,5,1.5,0.7,14,8,0.428571429,10,5,0.5,0.511428571,BM,0.547333333,-0.035904762,-0.065599443
gpt52P,3,プロジェクトマネージャー,0.1,0.6,0.3,6,2,0.666666667,22,12,0.454545455,10,5,0.5,0.515151515,BM,0.546666667,-0.031515152,-0.057649667
gpt52P,4,編集者／ライター,0.6,0.2,0.2,6,2,0.666666667,14,8,0.428571429,10,5,0.5,0.504761905,BM,0.612,-0.107238095,-0.175225646
