model,occupation_id,occupation_name,task_weight_summary,task_weight_instruction,task_weight_presentation,est_human_time_summary,est_ai_time_summary,est_reduction_summary2,est_human_time_instruction,est_ai_time_instruction,est_reduction_instruction2,est_human_time_presentation,est_ai_time_presentation,est_reduction_presentation2,est_reduction_timeweighted2,label_source,true_reduction,ae2,re2
gpt51T,1,経営コンサルタント,0.7,0.9,0.9,8,2,0.525,10,4,0.54,16,8,0.45,0.501,BM,0.542333333,-0.041333333,-0.076213891
gpt51T,2,事業企画（企画職）,0.6,0.8,0.9,6,1.5,0.45,8,3,0.5,12,6,0.45,0.47,BM,0.519833333,-0.049833333,-0.095864059
gpt51T,2.2,マーケティング担当,0.7,0.6,0.8,6,1.5,0.525,8,2.5,0.4125,11,3.5,0.545454545,0.488181818,BM,0.547333333,-0.059151515,-0.108072196
gpt51T,3,プロジェクトマネージャー,0.5,0.9,0.7,6,1.5,0.375,14,6,0.514285714,10,5,0.35,0.420714286,BM,0.546666667,-0.125952381,-0.230400697
gpt51T,4,編集者／ライター,0.9,0.5,0.4,7,2,0.642857143,9,3.5,0.305555556,8,4,0.2,0.330793651,BM,0.612,-0.281206349,-0.459487499
gpt51T,5,営業アシスタント／秘書,0.6,0.8,0.5,4,1,0.45,7,2.5,0.514285714,9,4.5,0.25,0.395714286,BM,0.5735,-0.177785714,-0.310001245
gpt51T,6,研修講師／インストラクショナルデザイナー,0.5,0.6,0.9,7,2,0.357142857,12,5,0.35,14,7,0.45,0.391428571,BM,0.665,-0.273571429,-0.411385607
gpt51T,7,財務・経理系,0.9,1,0.95,6,2,0.6,12,5,0.583333333,10,5,0.475,0.543333333,BM,0.8,-0.256666667,-0.320833333
gpt51T,7.2,財務・経理系,0.82,0.92,0.88,6,2,0.546666667,12,5,0.536666667,10,5,0.44,0.5,BM,0.61635,-0.11635,-0.188772613
gpt51T,8,カスタマーサポート系,1,0.95,0.8,30,12,0.6,25,10,0.57,20,6,0.56,0.572,BM,0.68,-0.108,-0.158823529
gpt51T,8.2,カスタマーサポート系,0.72,0.9,0.84,5,1.5,0.504,10,4,0.54,8,3.5,0.4725,0.5058,BM,0.498415,0.007385,0.01481697
gpt52P,1,経営コンサルタント,0.7,0.9,0.9,7,2,0.5,20,11,0.405,14,7,0.45,0.442,BM,0.542333333,-0.100333333,-0.185003073
gpt52P,2,事業企画（企画職）,0.6,0.8,0.9,6,2,0.4,18,10,0.355555556,12,6,0.45,0.402222222,BM,0.519833333,-0.117611111,-0.226247729
gpt52P,2.2,マーケティング担当,0.7,0.6,0.8,5,1.5,0.49,14,8,0.257142857,10,5,0.4,0.360857143,BM,0.547333333,-0.18647619,-0.340699495
gpt52P,3,プロジェクトマネージャー,0.5,0.9,0.7,6,2,0.333333333,22,12,0.409090909,10,5,0.35,0.37030303,BM,0.546666667,-0.176363636,-0.322616408
gpt52P,4,編集者／ライター,0.9,0.5,0.4,6,2,0.6,14,8,0.214285714,10,5,0.2,0.285714286,BM,0.612,-0.326285714,-0.533146592
