model,Arena Elo,AAII,MMLU-Pro,ARC-AGI,time_abs_ae_bm,time_abs_re_bm,time_abs_ae_ref4,time_abs_re_ref4,imp_abs_ae2_bm,imp_abs_re2_bm,imp_abs_ae2_ref4,imp_abs_re2_ref4
opus46T,1503,73,89.7,69.2,0.16976779936363637,0.3032931230909091,0.10500854263636362,0.14062074845454545,0.08689942427272727,0.14524944581818183,0.2164738008181818,0.2579374258181818
opus46,1490,71,89.5,64.6,0.1261777849090909,0.22620738254545456,0.13470937945454545,0.17378858481818182,0.08672104609090908,0.1436749319090909,0.24244981236363639,0.28919829
gpt52P,1465,72,87.4,43.3,0.08860802236363637,0.13343752472727274,0.2669559229090909,0.32051627163636365,0.20121154981818182,0.3272583580909091,0.3824450348181818,0.46751101563636366
gpt52T,1465,72,87.4,43.3,0.16984820354545455,0.3008433637272727,0.11923520927272727,0.16448943881818182,0.08711183990909091,0.147136448,0.2322852812727273,0.28482004972727276
gpt51T,1464,70,87.1,17.6,0.08062586318181818,0.13206913672727272,0.202703004,0.2450442802727273,0.13611233827272728,0.2158792399090909,0.3181849140909091,0.381395857
gpt52I,1464,68,87.4,26.7,0.18023781390909088,0.3177000367272727,0.11793650799999998,0.16286606218181818,0.09642439400000001,0.16224564581818182,0.22297272718181818,0.27317935709090907
sonnet46,1446,65,87.3,37.6,0.21565476436363634,0.3844981137272727,0.08880627236363636,0.12907775390909093,0.10367137263636363,0.17901339254545456,0.19151169254545453,0.23259350509090906
sonnet46T,1446,65,87.3,37.6,0.24924970899999999,0.4439130931818182,0.09325128918181819,0.1416823499090909,0.10305117500000001,0.18533311254545454,0.17206808454545455,0.21372900372727272
haiku45,1378,42,80.0,,0.3251277979090909,0.5672857972727273,0.1488640101818182,0.2268403530909091,0.14533442654545456,0.25441417854545456,0.17328175436363635,0.22829210600000002
gpt4om,1289,22,64.8,,0.14183954554545455,0.25714256,0.12454545445454546,0.16781462827272728,0.09747893954545454,0.16538869790909091,0.24641515154545457,0.3036706857272727
gem2:9b,1213,8,49.5,,0.07852256245454546,0.13848779936363637,0.20736685536363633,0.25669802,0.12356295536363636,0.205522484,0.30552990336363633,0.3661137681818181
gpt35t,1145,9,46.2,,0.14437461045454547,0.24460649236363635,0.24256233772727273,0.3110383300909091,0.1309354572727273,0.2171122243636364,0.3175882152727273,0.3845490654545454
llama32:3b,1118,5,34.7,,0.12250126754545455,0.20853094427272725,0.23413646927272727,0.28918874609090905,0.1676451590909091,0.2840015909090909,0.3340301590909091,0.41055429936363635
mist:7b,1097,1,24.5,,0.19850839945454546,0.34860865336363633,0.161777079,0.22111121163636363,0.14342783227272726,0.24329313663636362,0.23663374336363638,0.29862269672727276
llama2:13b,1093,6,40.6,,0.2081193289090909,0.35508600727272727,0.25327200572727276,0.3281169733636364,0.21371637081818182,0.3572192150909091,0.3265862192727273,0.40997199954545455
