baseline,spec,term,coef,se(HC3),p
BM,base,C(segment)[T.B],-0.19414439604771372,0.022939921339649116,2.6021162768660052e-17
BM,base,C(segment)[T.C],-0.22969353093834705,0.016631982797017407,2.2075136896901205e-43
BM,base,importance,-0.19679733764486346,0.05583243024233773,0.0004238259119502013
BM,base,"importance:C(task, Treatment(reference=""summary""))[T.instruction]",0.08402795822949513,0.0632770563947121,0.18419884822507326
BM,base,"importance:C(task, Treatment(reference=""summary""))[T.presentation]",0.0786784641258927,0.06838757420409827,0.24994666187983117
BM,full,C(segment)[T.B],-0.3274403118744722,0.07590328730681091,1.6038880353277248e-05
BM,full,C(segment)[T.C],-0.09118564097133161,0.1458404806016741,0.5318120278249501
BM,full,importance,-0.39462276667136054,0.08480665621711177,3.2681485508038184e-06
BM,full,"importance:C(task, Treatment(reference=""summary""))[T.instruction]",0.293171679960008,0.1221363374433106,0.016378771182025686
BM,full,"importance:C(task, Treatment(reference=""summary""))[T.presentation]",0.2673950294920176,0.121199840483323,0.027367723402868964
BM,full,importance:C(segment)[T.B],0.034390089592716416,0.17624269709038912,0.8452918342643867
BM,full,importance:C(segment)[T.C],-0.1372332132054412,0.20480591564923864,0.5028165503031843
BM,full,"importance:C(task, Treatment(reference=""summary""))[T.instruction]:C(segment)[T.B]",0.3576848374374882,0.25840438666459864,0.1662954637038737
BM,full,"importance:C(task, Treatment(reference=""summary""))[T.instruction]:C(segment)[T.C]",0.18089682855236117,0.2954737671817079,0.5403880044575367
ref4,base,C(segment)[T.B],-0.07737137579797201,0.029643029636461583,0.009051482908607543
ref4,base,C(segment)[T.C],-0.22969353093834693,0.020078306867071204,2.6423411974110042e-30
ref4,base,importance,0.13963309575637195,0.062439951956730785,0.02533356150866823
ref4,base,"importance:C(task, Treatment(reference=""summary""))[T.instruction]",0.09774154946398984,0.06798352716050725,0.15051237704728052
ref4,base,"importance:C(task, Treatment(reference=""summary""))[T.presentation]",-0.14109784219724483,0.07689643800417287,0.06651941283611694
ref4,full,C(segment)[T.B],-0.04160980444089331,0.08319337826704298,0.616964076719126
ref4,full,C(segment)[T.C],-0.09118564097133228,0.13653127406217883,0.5042142456915424
ref4,full,importance,0.14536044302556983,0.08449439172181397,0.08536772995275092
ref4,full,"importance:C(task, Treatment(reference=""summary""))[T.instruction]",0.3096024626274332,0.11752599639585946,0.008430307589359538
ref4,full,"importance:C(task, Treatment(reference=""summary""))[T.presentation]",-0.17483149009375487,0.13794178780933503,0.2050017599016586
ref4,full,importance:C(segment)[T.B],-0.1343817229534789,0.21267357192797742,0.5274728326262154
ref4,full,importance:C(segment)[T.C],-0.1372332132054412,0.18345996161026915,0.454443186411293
ref4,full,"importance:C(task, Treatment(reference=""summary""))[T.instruction]:C(segment)[T.B]",0.3929359938256803,0.32216572397437954,0.22258985110617602
ref4,full,"importance:C(task, Treatment(reference=""summary""))[T.instruction]:C(segment)[T.C]",0.18089682855235625,0.279567197076107,0.5175929314791057
