model,n_files,chars_total,residual_per_1k,scope_per_1k,caution_per_1k,proxy_total
gem2:9b,11.0,10691.0,5.612197175194089,1.8707323917313627,0.8418295762791133,2.7749197144015216
gpt35t,9.0,3601.0,4.720910858094974,1.6662038322688142,0.8331019161344071,2.4067388688327314
gpt4om,10.0,6406.0,7.64907898844833,1.8732438339057134,1.8732438339057134,3.798522218753252
gpt51t,11.0,11815.0,16.250528988573848,5.332204824375793,5.924672027084215,9.169135280011284
gpt52i,11.0,12489.0,11.850428376971735,3.923452638321723,5.044439106413644,6.939440040569035
gpt52p,11.0,19667.0,14.745512787918848,7.474449585600244,7.8812223521635225,10.033728241894204
gpt52t,11.0,9898.0,15.356637704586785,5.0515255607193374,6.668013740149525,9.025392335151883
haiku45,11.0,24802.0,9.716958309813725,3.6287396177727604,2.4191597451818403,5.254952557589442
llama2:13b,10.0,4520.0,7.522123893805309,1.3274336283185841,2.2123893805309733,3.687315634218289
llama32:3b,10.0,7340.0,4.223433242506812,0.4087193460490463,0.5449591280653951,1.7257039055404177
mist:7b,11.0,8296.0,3.8572806171648986,0.9643201542912246,1.0848601735776278,1.9688203150112502
opus46,11.0,17874.0,11.916750587445451,4.923352355376524,4.811457983663422,7.217186975495132
opus46t,11.0,25878.0,12.172501738928819,3.9029291289898755,4.791714970244996,6.9557152793878965
sonnet46,11.0,17936.0,9.47814451382694,3.289473684210526,3.5682426404995544,5.4452869461790065
sonnet46t,11.0,16881.0,13.980214442272377,2.3102896747822994,3.7912445945145428,6.69391623718974
