model,segment,proxy_total,mean_signed_error_bm,residual_per_1k,scope_per_1k,caution_per_1k,n_files,chars_total
gpt52p,C,10.033728241894204,-0.085722438,14.745512787918848,7.474449585600244,7.881222352163522,11.0,19667.0
gpt51t,C,9.169135280011284,0.0012577535454545,16.250528988573848,5.332204824375793,5.924672027084215,11.0,11815.0
gpt52t,A,9.025392335151883,0.1581598919090909,15.356637704586785,5.0515255607193374,6.668013740149525,11.0,9898.0
opus46,A,7.217186975495132,0.1140565727272727,11.916750587445453,4.923352355376524,4.811457983663422,11.0,17874.0
opus46t,A,6.9557152793878965,0.150373860090909,12.17250173892882,3.902929128989876,4.791714970244996,11.0,25878.0
gpt52i,A,6.939440040569035,0.1685495022727272,11.850428376971736,3.923452638321723,5.044439106413644,11.0,12489.0
sonnet46t,A,6.69391623718974,0.2492497089999999,13.980214442272375,2.3102896747822994,3.791244594514543,11.0,16881.0
sonnet46,A,5.445286946179007,0.2019416330909091,9.47814451382694,3.289473684210526,3.5682426404995544,11.0,17936.0
haiku45,A,5.254952557589442,0.3251277979090909,9.716958309813725,3.62873961777276,2.4191597451818403,11.0,24802.0
llama2:13b,B,3.515432749771497,-0.0045349132727272,7.171482809533853,1.265555789917739,2.109259649862898,11.0,4741.0
gpt4om,B,3.4876498972815444,0.1327486364545454,7.023075820553246,1.719936935645693,1.719936935645693,11.0,6977.0
gem2:9b,B,2.7749197144015216,0.025352921,5.612197175194089,1.8707323917313627,0.8418295762791133,11.0,10691.0
gpt35t,B,1.9864007945603177,0.0360469048181818,3.896401558560624,1.37520055008022,0.68760027504011,11.0,4363.0
mist:7b,B,1.9688203150112504,0.188075499090909,3.8572806171648986,0.9643201542912246,1.0848601735776278,11.0,8296.0
llama32:3b,B,1.5709620075240809,0.0169434319090909,3.8447228078878815,0.3720699491504403,0.4960932655339203,11.0,8063.0
