model,task_mae,task_bias,proxy_total,segment
gem2:9b,0.138034,0.016891,2.7749197144015216,B
gpt35t,0.171692,0.021144,1.9864007945603177,B
gpt4om,0.155856,0.127553,3.4876498972815444,B
gpt51t,0.089318,0.002249,9.169135280011284,C
gpt52i,0.169227,0.1645,6.939440040569035,A
gpt52p,0.090418,-0.084015,10.033728241894204,C
gpt52t,0.16001,0.154832,9.025392335151883,A
haiku45,0.31106,0.31106,5.254952557589442,A
llama2:13b,0.187542,-0.008251,3.515432749771497,B
llama32:3b,0.176323,0.009495,1.5709620075240809,B
mist:7b,0.215931,0.174678,1.9688203150112504,B
opus46,0.145957,0.108701,7.217186975495132,A
opus46t,0.169715,0.145688,6.9557152793878965,A
sonnet46,0.206177,0.195624,5.445286946179007,A
sonnet46t,0.246767,0.241265,6.69391623718974,A
