model,segment,proxy_total,proxy_missing_cnt
gem2:9b,B,2.7749197144015216,0
gpt35t,B,1.9864007945603177,2
gpt4om,B,3.4876498972815444,1
gpt51t,C,9.169135280011284,0
gpt52i,A,6.939440040569035,0
gpt52p,C,10.033728241894204,0
gpt52t,A,9.025392335151883,0
haiku45,A,5.254952557589442,0
llama2:13b,B,3.515432749771497,1
llama32:3b,B,1.5709620075240809,1
mist:7b,B,1.9688203150112504,0
opus46,A,7.217186975495132,0
opus46t,A,6.9557152793878965,0
sonnet46,A,5.445286946179007,0
sonnet46t,A,6.69391623718974,0
