model,n_files,chars_total,residual_per_1k,scope_per_1k,caution_per_1k,proxy_total
gem2:9b,11.0,10691.0,5.612197175194089,3.7368617653675726,2.6944519268080414,4.0145036224565676
gpt35t,11.0,4363.0,4.972355962602472,4.588489758164207,2.7021743577486017,4.087673359505094
gpt4om,11.0,6977.0,7.527262647390084,3.801649838952539,2.7438405287447543,4.690917671695793
gpt51t,11.0,11815.0,16.250528988573848,5.332204824375793,5.924672027084215,9.169135280011284
gpt52i,11.0,12489.0,11.850428376971735,4.223050121077914,5.044439106413644,7.039305868154432
gpt52p,11.0,19667.0,14.745512787918848,7.474449585600244,7.8812223521635225,10.033728241894204
gpt52t,11.0,9898.0,15.356637704586785,5.0515255607193374,6.668013740149525,9.025392335151883
haiku45,11.0,24802.0,9.716958309813725,3.6287396177727604,2.4191597451818403,5.254952557589442
llama2:13b,11.0,4741.0,7.45865767583072,4.151424421258885,3.9745316356030944,5.1948712442309
llama32:3b,11.0,8063.0,5.148973183566655,3.5697234901570196,2.5927502026779967,3.7704822921338903
mist:7b,11.0,8296.0,6.218750905817744,3.737437144269109,2.8078006054387097,4.254662885175187
opus46,11.0,17874.0,11.916750587445451,4.923352355376524,4.811457983663422,7.217186975495132
opus46t,11.0,25878.0,12.172501738928819,4.324955176113053,4.791714970244996,7.096390628428956
sonnet46,11.0,17936.0,9.47814451382694,4.092132723050477,3.920843627256913,5.8303736213781105
sonnet46t,11.0,16881.0,13.980214442272377,3.805132503423151,4.176361200918382,7.320569382204638
