model,occ_mae_bm,occ_bias_bm,proxy_total,segment
gem2:9b,0.11404,0.034031,2.7749197144015216,B
gpt35t,0.148133,0.038284,1.9864007945603177,B
gpt4om,0.159774,0.144693,3.4876498972815444,B
gpt51t,0.110374,0.019389,9.169135280011284,C
gpt52i,0.19239,0.18164,6.939440040569035,A
gpt52p,0.114398,-0.066876,10.033728241894204,C
gpt52t,0.182722,0.171972,9.025392335151883,A
haiku45,0.3282,0.3282,5.254952557589442,A
llama2:13b,0.214946,0.008889,3.515432749771497,B
llama32:3b,0.136427,0.026635,1.5709620075240809,B
mist:7b,0.2042,0.191818,1.9688203150112504,B
opus46,0.138569,0.125841,7.217186975495132,A
opus46t,0.182424,0.162828,6.9557152793878965,A
sonnet46,0.23335,0.212764,5.445286946179007,A
sonnet46t,0.266486,0.258405,6.69391623718974,A
