model,n_files,chars_total,residual_per_1k,scope_per_1k,caution_per_1k,proxy_total,mean_signed_error_bm
gem2:9b,11.0,10691.0,5.612197175194089,1.8707323917313627,0.8418295762791133,2.7749197144015216,0.025352921000000004
gpt35t,11.0,4363.0,3.8964015585606235,1.37520055008022,0.68760027504011,1.9864007945603177,0.03604690481818182
gpt4om,11.0,6977.0,7.023075820553246,1.719936935645693,1.719936935645693,3.4876498972815444,0.13274863645454546
gpt51t,11.0,11815.0,16.250528988573848,5.332204824375793,5.924672027084215,9.169135280011284,0.0012577535454545443
gpt52i,11.0,12489.0,11.850428376971735,3.923452638321723,5.044439106413644,6.939440040569035,0.16854950227272728
gpt52p,11.0,19667.0,14.745512787918848,7.474449585600244,7.8812223521635225,10.033728241894204,-0.085722438
gpt52t,11.0,9898.0,15.356637704586785,5.0515255607193374,6.668013740149525,9.025392335151883,0.1581598919090909
haiku45,11.0,24802.0,9.716958309813725,3.6287396177727604,2.4191597451818403,5.254952557589442,0.3251277979090909
llama2:13b,11.0,4741.0,7.171482809533853,1.265555789917739,2.109259649862898,3.5154327497714966,-0.004534913272727272
llama32:3b,11.0,8063.0,3.8447228078878823,0.3720699491504403,0.49609326553392036,1.5709620075240809,0.01694343190909091
mist:7b,11.0,8296.0,3.8572806171648986,0.9643201542912246,1.0848601735776278,1.9688203150112502,0.18807549909090907
opus46,11.0,17874.0,11.916750587445451,4.923352355376524,4.811457983663422,7.217186975495132,0.11405657272727271
opus46t,11.0,25878.0,12.172501738928819,3.9029291289898755,4.791714970244996,6.9557152793878965,0.15037386009090908
sonnet46,11.0,17936.0,9.47814451382694,3.289473684210526,3.5682426404995544,5.4452869461790065,0.2019416330909091
sonnet46t,11.0,16881.0,13.980214442272377,2.3102896747822994,3.7912445945145428,6.69391623718974,0.24924970899999999
