file,model,chars,residual_per_1k,scope_per_1k,caution_per_1k
../data/input/業務効率化タスク/gpt\GPTの回答比較_1経営.txt,gpt51t,1057,9.460737937559129,3.7842951750236518,4.7303689687795645
../data/input/業務効率化タスク/gpt\GPTの回答比較_1経営.txt,gpt52p,1539,11.046133853151396,8.447043534762832,7.797270955165692
../data/input/業務効率化タスク/gpt\GPTの回答比較_1経営.txt,gpt52i,1940,6.701030927835051,2.577319587628866,6.185567010309278
../data/input/業務効率化タスク/gpt\GPTの回答比較_1経営.txt,gpt52t,897,7.803790412486065,4.459308807134894,4.459308807134894
../data/input/業務効率化タスク/gpt\GPTの回答比較_1経営_B.txt,gpt35t,405,2.4691358024691357,0.0,0.0
../data/input/業務効率化タスク/gpt\GPTの回答比較_1経営_B.txt,gpt4om,599,1.669449081803005,0.0,1.669449081803005
../data/input/業務効率化タスク/gpt\GPTの回答比較_1経営_B.txt,gem2:9b,1076,3.717472118959108,0.0,1.858736059479554
../data/input/業務効率化タスク/gpt\GPTの回答比較_1経営_B.txt,llama32:3b,984,0.0,0.0,1.016260162601626
../data/input/業務効率化タスク/gpt\GPTの回答比較_1経営_B.txt,mist:7b,1046,0.0,2.868068833652008,0.0
../data/input/業務効率化タスク/gpt\GPTの回答比較_1経営_B.txt,llama2:13b,221,0.0,0.0,0.0
../data/input/業務効率化タスク/gpt\GPTの回答比較_1経営_anthropic.txt,sonnet46,1388,6.4841498559077815,3.6023054755043225,5.763688760806916
../data/input/業務効率化タスク/gpt\GPTの回答比較_1経営_anthropic.txt,sonnet46t,1087,11.039558417663294,0.9199632014719411,3.6798528058877644
../data/input/業務効率化タスク/gpt\GPTの回答比較_1経営_anthropic.txt,opus46,1227,6.519967400162999,5.704971475142624,2.444987775061125
../data/input/業務効率化タスク/gpt\GPTの回答比較_1経営_anthropic.txt,opus46t,1482,10.79622132253711,4.048582995951417,3.373819163292848
../data/input/業務効率化タスク/gpt\GPTの回答比較_1経営_anthropic.txt,haiku45,1889,11.646373742721016,1.5881418740074114,2.6469031233456857
../data/input/業務効率化タスク/gpt\GPTの回答比較_2.2マーケ.txt,gpt51t,697,14.347202295552368,4.30416068866571,5.738880918220947
../data/input/業務効率化タスク/gpt\GPTの回答比較_2.2マーケ.txt,gpt52p,1880,13.297872340425531,6.914893617021276,4.787234042553192
../data/input/業務効率化タスク/gpt\GPTの回答比較_2.2マーケ.txt,gpt52t,1019,15.701668302257113,3.9254170755642783,7.850834151128557
../data/input/業務効率化タスク/gpt\GPTの回答比較_2.2マーケ.txt,gpt52i,1103,9.972801450589301,1.813236627379873,5.439709882139619
../data/input/業務効率化タスク/gpt\GPTの回答比較_2.2マーケ_B.txt,gpt35t,365,2.73972602739726,0.0,0.0
../data/input/業務効率化タスク/gpt\GPTの回答比較_2.2マーケ_B.txt,gpt4om,463,4.319654427645789,0.0,0.0
../data/input/業務効率化タスク/gpt\GPTの回答比較_2.2マーケ_B.txt,llama32:3b,680,1.4705882352941175,0.0,1.4705882352941175
../data/input/業務効率化タスク/gpt\GPTの回答比較_2.2マーケ_B.txt,gem2:9b,985,4.060913705583757,4.060913705583757,0.0
../data/input/業務効率化タスク/gpt\GPTの回答比較_2.2マーケ_B.txt,mist:7b,394,2.5380710659898473,0.0,0.0
../data/input/業務効率化タスク/gpt\GPTの回答比較_2.2マーケ_B.txt,llama2:13b,201,4.975124378109452,0.0,0.0
../data/input/業務効率化タスク/gpt\GPTの回答比較_2.2マーケ_anthropic.txt,sonnet46,1549,5.810200129115558,2.5823111684958038,2.5823111684958038
../data/input/業務効率化タスク/gpt\GPTの回答比較_2.2マーケ_anthropic.txt,sonnet46t,1423,8.432888264230499,0.7027406886858749,0.7027406886858749
../data/input/業務効率化タスク/gpt\GPTの回答比較_2.2マーケ_anthropic.txt,opus46,1465,7.508532423208191,4.778156996587031,2.04778156996587
../data/input/業務効率化タスク/gpt\GPTの回答比較_2.2マーケ_anthropic.txt,opus46t,1672,5.980861244019139,1.7942583732057418,2.9904306220095696
../data/input/業務効率化タスク/gpt\GPTの回答比較_2.2マーケ_anthropic.txt,haiku45,2335,4.710920770877944,3.426124197002141,0.8565310492505352
../data/input/業務効率化タスク/gpt\GPTの回答比較_2企画.txt,gpt51t,1115,13.45291479820628,1.7937219730941705,2.690582959641256
../data/input/業務効率化タスク/gpt\GPTの回答比較_2企画.txt,gpt52p,1850,10.81081081081081,7.027027027027027,7.5675675675675675
../data/input/業務効率化タスク/gpt\GPTの回答比較_2企画.txt,gpt52i,1128,10.638297872340425,3.5460992907801416,1.7730496453900708
